fips,average_20,complete_20,average_48,complete_48,average_50,complete_50,average_75,complete_75
US01121,16,14,20,15,20,15,9,73
US01123,2,3,9,23,9,23,23,32
US01125,16,14,20,15,20,15,9,73
US01127,16,14,20,15,20,15,9,73
US01129,2,3,9,4,9,0,23,5
US01131,2,3,9,4,9,0,23,3
US01133,16,14,20,15,20,15,9,73
US04001,7,2,15,25,15,25,0,25
US04003,7,2,15,21,15,21,0,4
US04005,7,5,15,37,15,37,0,69
US04007,7,5,15,37,15,37,0,69
US04009,2,2,9,21,9,21,61,4
US04011,2,2,9,21,9,21,61,4
US04012,7,5,15,37,15,37,0,69
US04013,7,5,15,37,15,37,0,69
US04015,7,5,15,37,15,37,0,69
US04017,7,2,15,25,15,25,0,25
US04019,7,2,15,21,15,21,0,4
US04021,7,5,15,37,15,37,0,69
US04023,7,2,15,21,15,21,0,4
US04025,7,5,15,37,15,37,0,69
US04027,7,5,15,37,15,37,0,69
US05001,8,3,4,4,4,0,37,3
US05003,2,3,9,4,9,0,70,5
US05005,2,3,9,40,9,40,23,67
US05007,8,10,4,9,4,1,53,2
US05009,8,10,4,9,4,1,53,2
US05011,2,3,9,22,9,22,70,0
US05013,2,3,9,22,9,22,23,0
US05015,8,10,4,9,4,1,53,2
US05017,2,3,9,4,9,0,70,3
US05019,8,10,4,9,4,1,37,51
US05021,8,3,4,4,4,0,37,5
US05023,8,10,4,9,4,1,37,51
US05025,2,3,9,22,9,22,23,0
US05027,8,3,4,4,4,0,37,5
US05029,8,10,4,9,4,1,37,51
US05031,8,10,4,9,4,1,37,51
US05033,8,10,4,9,4,1,37,51
US05035,6,1,34,6,34,6,69,47
US05037,8,10,4,9,4,1,37,51
US05039,8,10,4,9,4,1,37,51
US05041,2,3,9,4,9,0,70,3
US05043,2,3,9,4,9,0,70,5
US05045,8,10,4,9,4,1,37,51
US05047,8,10,4,9,4,1,37,51
US05049,2,3,9,40,9,40,23,67
US05051,8,10,4,9,4,1,37,51
US05053,8,10,4,9,4,1,37,51
US05055,8,10,4,9,4,1,37,51
US05057,2,3,9,23,9,23,15,15
US05059,8,10,4,9,4,1,37,51
US05061,2,3,9,4,9,0,15,3
US05063,8,3,4,4,4,0,37,5
US05065,2,3,9,40,9,40,23,67
US05067,8,3,4,4,4,0,37,5
US05069,2,10,9,9,9,1,70,51
US05071,8,10,4,9,4,1,37,51
US05073,2,3,9,4,9,0,23,5
US05075,8,3,4,4,4,0,37,5
US05077,8,3,4,4,4,0,37,3
US05079,2,3,9,4,9,0,23,5
US05081,2,3,9,4,9,0,15,3
US05083,8,10,4,9,4,1,37,51
US05085,8,10,4,9,4,1,37,51
US05087,8,10,4,9,4,1,53,2
US05089,2,3,9,40,9,40,23,67
US05091,2,3,9,23,9,23,15,15
US05093,8,10,4,9,4,1,37,51
US05095,8,3,4,4,4,0,37,3
US05097,2,3,9,4,9,0,23,3
US05099,2,3,9,23,9,23,15,15
US05101,8,10,4,9,4,1,53,2
US05103,8,3,4,4,4,0,37,5
US05105,2,3,9,4,9,0,23,5
US05107,8,3,4,4,4,0,37,3
US05109,2,3,9,4,9,0,23,3
US05111,8,10,4,9,4,1,37,51
US05113,8,10,4,9,4,1,37,51
US05115,8,10,4,9,4,1,37,51
US05117,8,3,4,4,4,0,37,3
US05119,8,10,4,9,4,1,37,51
US05121,8,3,4,4,4,0,37,5
US05123,8,10,4,9,4,1,37,51
US05125,8,10,4,9,4,1,37,51
US05127,8,10,4,9,4,1,37,51
US05129,2,3,9,40,9,40,23,67
US05131,8,10,4,9,4,1,37,51
US05133,2,3,9,4,9,0,15,3
US05135,2,3,9,40,9,40,23,67
US05137,2,3,9,4,9,0,23,5
US05139,8,3,4,4,4,0,37,5
US05141,2,10,9,9,9,1,23,51
US05143,8,10,4,9,4,1,53,2
US05145,8,10,4,9,4,1,37,51
US05147,2,3,9,4,9,0,23,3
US05149,8,10,4,9,4,1,37,51
US06001,17,5,17,27,17,27,54,27
US06003,17,5,17,37,17,37,54,13
US06005,17,5,17,37,17,37,54,13
